,,Quiz1,Quiz1.1,Mid Sem,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Part1 Total,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Part2 Total,CBT Total,Matched ID,Match Status,Folder Name
,,,,37.5,2,8,4,5,5,5,5,34,9.5,10,5,4,4,2,5,39.5,73.5,2022B3A70426P,Green,1181
,,,,53.5,2,9,4,5,4,5,2.5,31.5,9,10,5,4,4,2,5,39,70.5,2023A7PS0629P,Green,1177
,,,,47,2,9,3,5,5,5,5,34,8.5,10,4,4,4,2,4,36.5,70.5,2023A7PS0656P,Green,1184
,,,,55,2,9,4,5,5,5,5,35,7.5,9.5,4,4,4,2,4,35,70,2022A8PS1260P,Green,1269
,,,,51,2,9,4,4,3,4,4,30,9.5,10,5,4,4,2,5,39.5,69.5,2023A7PS0570P,Green,1026
,,,,55,2,9,4,5,5,5,5,35,10,8,4,4,4,2,2,34,69,2023A7PS0628P,Green,1128
,,,,55.5,2,9,4,5,4.5,5,5,34.5,7,10,3,4,4,2,4,34,68.5,2022AAPS0363P,Green,1168
,,,,39,2,9,4,3.5,4,5,4,31.5,8.5,10,3,4,4,2,4,35.5,67,2023A7PS0030P,Green,1165
,,,,45,2,9,4,5,5,5,3,33,9,8.5,5,3,4,2,2.5,34,67,2022B1A71107P,Green,1263
,,,,50,2,9,4,5,5,5,5,35,8,7,4,4,3,2,3,31,66,2023A7PS0621P,Green,1153
,,,,63.5,2,9,4,5,5,5,5,35,10,7,2,4,4,2,2,31,66,2022B3A70598P,Green,1239
,,,,64,2,9,4,4,5,5,5,34,5,8,4,4,4,2,4,31,65,2022B3A71091P,Green,1081
,,,,27,2,9,4,4.5,4.5,4.5,4,32.5,10,10,1,4,4,2,0,31,63.5,2023A7PS1099P,Green,1123
,,,,49.5,2,8,4,3,4,5,5,31,7,9,3,4,4,2,3.5,32.5,63.5,2022B3A70453P,Green,1257
,,,,61,2,9,3,3,5,4,4,30,10,6,4,4,3,2,4,33,63,2022B4A70874P,Green,1079
,,,,44,2,9,4,4,5,5,5,34,7,9,3,4,4,2,0,29,63,2021B4A31745P,Green,1204
,,,,29,2,9,4,5,5,5,5,35,9,9,1.5,0,4,2,1.5,27,62,2023A7PS0017P,Green,1226
,,,,67,2,9,4,4.5,5,5,3,32.5,2.5,10,3,4,4,2,3,28.5,61,2023A7PS0511P,Yellow,1281
,,,,39,2,9,4,4.5,4,4.5,3,31,10,6,0.5,4,4,2,3,29.5,60.5,2023A7PS0673P,Green,1108
,,,,44.5,2,9,3.3,3.5,5,5,5,32.8,8.5,4,2,4,4,2,3,27.5,60.3,2021B2AA2748P,Green,1201
,,,,47,2,8,3,5,4,5,5,32,10,7,3,0,4,2,2,28,60,2022B4A70585P,Green,1224
,,,,55,0.5,9,4,4,4.5,5,5,32,7.5,7,2,4,4,2,1.5,28,60,2023A7PS0659P,Green,1241
,,,,27,2,6,4,4,1.5,4,5,26.5,9,10,2,4,4,2,2,33,59.5,2022B3A71033P,Green,1051
