folder,Grount Truth,Given Marks
1006,30,19
1013,31,30
1015,22,22
1016,5,0
1020,25,19
1028,31,35
1040,10,7
1042,6,10
1044,8,9
1047,22,23
1048,31,33
1050,6,2
1051,21,27
1052,12,18
1053,30,32
1061,0,0
1062,31,30
1064,20,24
1070,15,13
1073,28,34
1077,16,19
1078,27,27
1084,3,0
1095,28,26
1101,31,29
1106,11,4
1117,26,24
1118,17,19
1120,9,10
1121,10,12
1124,17,0
1125,0,24
1129,7,13
1135,2,1
1136,26,30
1137,10,6
1142,20,16
1143,4,2
1148,27,17
1154,20,15
1156,21,17
1163,33,34
1168,34,35
1172,12,3
1176,31,32
1177,31,30
1181,28,31
1192,9,6
1199,7,0
1200,12,13
1213,31,32
1219,1,1
1221,25,22
1223,14,18
1225,20,17
1227,31,31
1231,0,1
1236,26,27
1237,7,7
1238,29,34
1242,0,2
1245,0,0
1251,6,0
1252,28,23
1253,5,4
1255,25,21
1261,23,17
1265,9,11
1266,5,6
1271,20,15
1272,30,31
1277,27,28
1281,33,35
1286,23,25
1293,15,16
1296,5,2
1298,5,5
1299,10,0
1301,12,11
1305,0,0
