Folder Name, Ground Truth, Logical Marks,
1006, 17.0, 26,
1013, 27.5, 31,
1015, 14.5, 23,
1016, 27.5, 4,
1020, 24.5, 32,
1028, 34.0, 35,
1040, 13.0, 8,
1042, 14.0, 17,
1044, 9.5, 9,
1047, 25.0, 27,
1048, 31.5, 33,
1050, 5.0, 7,
1051, 26.5, 35,
1052, 18.0, 16,
1053, 32.0, 28,
1061, 31.0, 0,
1062, 28.0, 35,
1064, 30.0, 31,
1070, 17.0, 18,
1073, 26.0, 32,
1077, 12.0, 18,
1078, 30.0, 29,
1084, 6.5, 11,
1095, 31.0, 26,
1101, 28.5, 31,
1106, 16.0, 8,
1117, 30.0, 28,
1118, 17.5, 19,
1120, 6.5, 9,
1121, 12.0, 15,
1124, 10.0, 22,
1125, 21.0, 26,
1129, 18.0, 14,
1135, 5.0, 3,
1136, 27.0, 31,
1137, 13.0, 8,
1142, 17.5, 25,
1143, 6.5, 6,
1148, 24.0, 25,
1154, 12.0, 13,
1156, 24.0, 26,
1163, 35.0, 35,
1168, 34.5, 35,
1172, 11.0, 4,
1176, 34.0, 32,
1177, 31.5, 30,
1181, 34.0, 35,
1192, 15.5, 12,
1199, 7.5, 5,
1200, 11.0, 14,
1213, 33.5, 32,
1219, 3.0, 1,
1221, 25.0, 25,
1223, 21.0, 22,
1225, 26.0, 25,
1227, 34.0, 35,
1231, 1.0, 2,
1236, 28.0, 26,
1237, 5.0, 8,
1238, 34.0, 34,
1242, 2.0, 2,
1245, 3.0, 0,
1251, 5.0, 2,
1252, 32.0, 29,
1253, 6.0, 5,
1255, 31.0, 28,
1261, 23.0, 24,
1265, 15.0, 16,
1266, 6.0, 6,
1271, 24.0, 22,
1272, 33.0, 32,
1277, 25.0, 33,
1281, 32.5, 35,
1286, 27.5, 27,
1293, 16.0, 17,
1296, 9.0, 2,
1298, 8.0, 8,
1299, 7.5, 1,
1301, 5.5, 11,
