folder,Grount Truth,Given Marks
1006,30,5
1013,31,16
1015,22,3
1016,5,0
1020,25,3
1028,31,24
1040,10,2
1042,6,0
1044,8,0
1047,22,6
1048,31,18
1050,6,0
1051,21,13
1052,12,8
1053,30,17
1061,0,1
1062,31,25
1064,20,11
1070,15,2
1073,28,0
1077,16,8
1078,27,1
1084,3,0
1095,28,6
1101,31,1
1106,11,0
1117,26,2
1118,17,5
1120,9,2
1121,10,2
1124,17,0
1125,0,1
1129,7,2
1135,2,2
1136,26,9
1137,10,0
1142,20,2
1143,4,0
1148,27,18
1154,20,2
1156,21,5
1163,33,21
1168,34,21
1172,12,0
1176,31,10
1177,31,14
1181,28,12
1192,9,0
1199,7,0
1200,12,1
1213,31,13
1219,1,0
1221,25,12
1223,14,3
1225,20,5
1227,31,19
1231,0,0
1236,26,6
1237,7,2
1238,29,21
1242,0,1
1245,0,0
1251,6,0
1252,28,2
1253,5,0
1255,25,8
1261,23,1
1265,9,0
1266,5,0
1271,20,4
1272,30,12
1277,27,14
1281,33,20
1286,23,8
1293,15,4
1296,5,0
1298,5,0
1299,10,0
1301,12,0
1305,0,0
