submission_id,total_score,evaluations_count,total_score_variance,compare_score,compare_variance,readPlayersFromFile_score,readPlayersFromFile_variance,writePlayersToFile_score,writePlayersToFile_variance,updatePlayerStats_score,updatePlayerStats_variance,calculateTeamAverageRuns_score,calculateTeamAverageRuns_variance,teamFilter_score,teamFilter_variance,allRounderFilter_score,allRounderFilter_variance
1006,19,5,6.5,0,0.0,7,0.0,3,0.0,3,0.2,4,0.3,3,0.0,2,0.2
1013,30,5,0.0,2,0.0,5,0.0,4,0.0,4,0.0,5,0.0,5,0.0,5,0.0
1015,22,5,0.0,2,0.0,6,0.0,0,0.0,3,0.0,3,0.0,3,0.0,5,0.0
1016,0,5,8.0,0,0.0,3,2.7,1,0.3,0,0.3,0,0.0,0,0.0,0,0.0
1020,19,5,2.3,2,0.0,5,0.3,2,0.0,3,0.0,3,0.0,3,0.0,3,0.0
1028,35,5,0.0,2,0.0,9,0.0,4,0.0,5,0.0,5,0.0,5,0.0,5,0.0
1040,7,5,0.2,2,0.0,0,0.0,0,0.0,3,0.2,0,0.0,2,0.0,0,0.0
1042,10,5,0.0,2,0.0,5,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0
1044,9,5,11.3,2,0.0,3,2.7,0,0.0,2,0.8,2,0.8,0,0.0,0,0.0
1047,23,5,0.2,2,0.0,6,0.2,1,0.0,3,0.0,4,0.0,4,0.0,3,0.0
1048,33,5,0.2,2,0.0,9,0.2,3,0.0,5,0.0,4,0.0,5,0.0,5,0.0
1050,2,5,0.2,2,0.0,0,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0
1051,27,5,0.0,2,0.0,7,0.0,3,0.0,4,0.0,3,0.0,3,0.0,5,0.0
1052,18,5,0.2,2,0.0,3,0.0,1,0.0,0,0.0,3,0.0,4,0.2,5,0.0
1053,32,5,0.2,2,0.0,9,0.0,3,0.0,4,0.0,5,0.0,4,0.2,5,0.0
1061,0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1062,30,5,1.5,0,0.0,9,0.0,4,0.0,5,0.0,5,0.0,5,0.0,2,1.5
1064,24,5,2.7,2,0.0,7,0.0,2,0.3,3,0.0,3,0.0,3,0.0,4,0.0
1070,13,5,0.3,2,0.0,5,0.0,0,0.0,4,0.3,2,0.0,0,0.0,0,0.0
1073,34,5,0.0,2,0.0,9,0.0,3,0.0,5,0.0,5,0.0,5,0.0,5,0.0
1077,19,5,0.3,2,0.0,4,0.3,0,0.0,2,0.0,4,0.0,5,0.0,2,0.0
